solar_TIMESTAMP,CAN_TUR_P39_PRE_Pst_Js_4,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2010-08-20 03:36:16+00:00,10.99476763615029,17.36,87.7999999999999,6.8740000000000006,0.0,1.55,0.0,0.0527916666666667,0.067,0.0,0.2418504503073837
2010-08-20 04:06:16+00:00,11.989823532061756,17.16,87.4999999999999,6.772000000000001,0.0,1.622,0.0,0.0527916666666667,0.067,0.0,0.2446830576426242
2010-08-20 04:36:16+00:00,1.024923811695655,17.02,87.5999999999999,7.562,0.0,1.772,0.0,0.0527916666666667,0.067,0.0,0.2405831471907655
2010-08-20 05:06:16+00:00,1.6883400509267927,16.8,88.6999999999999,6.613,0.0,1.452,0.0,0.0527916666666667,0.067,0.0,0.2162035434795326
2010-08-20 05:36:16+00:00,0.0,16.46,90.4,12.244000000000002,0.0,1.672,0.0,0.0527916666666667,0.067,80.76250086697787,0.179750781553478
2010-08-20 06:06:16+00:00,0.0,16.65,90.4,31.81,46.5900000000001,1.626,0.0,0.0527916666666667,0.067,205.8838920172008,0.1819358724029054
2010-08-20 06:36:16+00:00,3.963034450179885,16.93,90.8,75.94,138.8,1.954,0.0,0.0527916666666667,0.067,330.8043931831322,0.177481817423283
2010-08-20 07:06:16+00:00,34.23560861256115,17.28,89.0,186.45,357.0,2.391,0.0,0.0527916666666667,0.067,453.3858748306525,0.2169619207857949
2010-08-20 07:36:16+00:00,282.20073468902405,18.07,84.7,305.55,581.5,2.359,0.0,0.0527916666666667,0.067,571.5302406825194,0.3171829342707364
2010-08-20 08:06:16+00:00,914.0611076111612,18.68,78.2999999999999,395.25,765.999999999999,2.26,0.0,0.0527916666666667,0.067,683.2153386188783,0.4673976615081978
2010-08-20 08:36:16+00:00,1639.217096794809,19.21,69.4199999999999,488.35,948.999999999999,2.81,0.0,0.0527916666666667,0.067,786.5295717594569,0.6808170394249227
2010-08-20 09:06:16+00:00,2057.6858516899147,19.83,65.1499999999998,581.65,1154.0,2.668,0.0,0.0527916666666667,0.067,879.7046173250735,0.8063548865289296
2010-08-20 09:36:16+00:00,2109.212666405825,20.8,60.3599999999998,644.8499999999999,1294.0,2.282,0.0,0.0527916666666667,0.067,961.145693261562,0.9738027116547938
2010-08-20 10:06:16+00:00,2260.600593684216,21.08,52.3699999999997,723.05,1481.0,2.719,0.0,0.0527916666666667,0.068,1029.4588545812655,1.1903940636413035
2010-08-20 10:36:16+00:00,2263.725232101539,21.59,45.3299999999997,793.05,1654.0,2.305,0.0,0.0527916666666667,0.068,1083.474852215676,1.4097073023584568
2010-08-20 11:06:16+00:00,2118.3957473778514,21.97,46.9799999999997,840.05,1769.0,2.272,0.0,0.0527916666666667,0.067,1122.2691460075152,1.3992510834608618
