,,,,,mean_pi_width,mean_pi_width,mean_coverage_eps,mean_coverage_eps,winkler_score_norm,winkler_score_norm
,,,,,mean,std,mean,std,mean,std
dataset,ts_instance,fc_model,uc_model,alpha,,,,,,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,enbpi,0.15,127.89601064807933,,-0.0635326650535776,,2.9014034343727584,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,knn,0.05,153.69428253701267,,-0.06622882820601454,,4.207805752487982,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,knn,0.1,137.05418902435724,,-0.06851019702730729,,3.026147426423291,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,knn,0.15,122.01265428802195,,-0.06387832699619769,,2.5153345283936033,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,nexcp,0.05,257.0091156390889,,-0.0073798824749395225,,4.114150747244439,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,nexcp,0.1,189.5954973297963,,-0.006636709298306259,,3.283866506589643,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,nexcp,0.15,151.31064856839436,,-0.007535430349118549,,2.818379895929653,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,ourmodel,0.05,94.92875376787723,4.383652295961954,-0.0018492913930176075,0.006023930055895912,1.7830366413492595,0.036948518546862874
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,ourmodel,0.1,75.80068418718398,3.130846145371955,0.01622018665744901,0.008818755705463852,1.347078924260975,0.029089849668044048
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,ourmodel,0.15,64.69942656405607,2.9198605362000634,0.03115710335292085,0.007613191207803307,1.1472386215304542,0.029316713573816038
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,spic,0.05,122.63347275529895,0.14852148450376237,0.003227618389215356,0.00030245419979261855,2.3613704868639536,0.001198858176726602
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,spic,0.1,93.92167787126633,0.47380351941718524,0.021707569996543385,0.0004291872458160922,1.769370863176254,0.0024055235392690727
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,spic,0.15,78.08403973508533,0.289399026058704,0.03923695126166607,0.0006166256086129149,1.4791913407526178,0.0019194596141894938
air-10,air-10PRSA_Data_Dingling_20130301-20170228,reg-ridge,default-conformal,0.05,202.6082097632721,,-0.011700656757690983,,3.809862560169907,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,reg-ridge,default-conformal,0.1,140.22032447443098,,-0.006118216384376124,,2.920382351080143,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,reg-ridge,default-conformal,0.15,111.40288844077264,,0.0005012098167992141,,2.420785429428412,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,reg-ridge,enbpi,0.05,138.07600414435674,,-0.0452298651918424,,3.051569997422485,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,reg-ridge,enbpi,0.1,107.4889991716081,,-0.05338748703767712,,2.409533473730153,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,reg-ridge,enbpi,0.15,88.72543506740988,,-0.05428620808848941,,2.0413243475960625,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,reg-ridge,knn,0.05,123.10309255654697,,-0.05387141375734532,,2.87199140621402,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,reg-ridge,knn,0.1,100.33635045746145,,-0.06418942274455583,,2.2140804673578867,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,reg-ridge,knn,0.15,86.66651972280503,,-0.06102661596958173,,1.7944977196455085,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,reg-ridge,nexcp,0.05,193.12434873801797,,-0.0048738333909436465,,3.130081242382735,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,reg-ridge,nexcp,0.1,144.8263712730368,,-0.0005012098167992141,,2.4974156048900884,
